index,account_url,account,headcount
"135041","www.jointcontrols.com","JoinTech",
"94814","www.depl.co.in","DEPL LTD",
"69984","https://www.turnitin.com/","Turnitin","916"
"166885","drtstrategies.com","DRT Strategies","237"
"70710","www.zywave.com","Zywave","745"
"71989","https://www.betterengineer.com/","BetterEngineer","28"
"72565","https://www.mediavine.com","Mediavine","251"
"933","www.vifbox.com","VIFBOX",
"72419","https://www.flutterflow.io","FlutterFlow","79"
"22952","www.boybutter.com","Butter",
"255842","2bigfeet.com","2bigfeet.com",
"84123","www.biocryst.com","BioCryst Pharmaceuticals","561"
"41605","flare.network","Networks",
"43539","http://www.blinkkorea.com","AG CO., LTD.",
"107260","https://www.swagyourlife.com","SWAG OÜ","266"
"102265","http://www.leadsmarket.com","LeadsMarket.com","107"
"145073","www.memeo.com","Ester Memeo",
"145361","www.twbrewing.com","Tin Tin",
"84659","https://www.tignis.com","Tignis","28"
"14751","www.cadenza.tv","Cadenza, Inc.",
"108961","http://terra.money","Terraform Labs","47"
"86619","www.architech.ca","Architech","229"
"110568","https://www.wallester.com","Wallester","127"
"84709","http://www.fullbay.com","Fullbay","126"
"192827","absolute.com","NetMotion Wireless by Absolute",
"113132","https://www.meisterwerk.app","MEISTERWERK","29"
"113953","abstract.com","abstract.com","58"
"114936","https://soulassembly.com/","Soul Assembly","59"
"10711","fr.ey.com","Ernst & Young France",
"98095","http://www.kidscorp.digital","Kids Corp","111"
"88641","www.giveffect.com","Giveffect","18"
"95109","https://www.csb.com","CSB-System","306"
"96251","https://www.frontwell-solutions.com","FrontWell Solutions","104"
"254950","accountingsuite.com","accountingsuite.com",
"97745","http://www.radiantlogic.com","Radiant Logic","172"
"123255","https://open-logix.com/","openlogix","156"
"237208","http://www.parthenon.ey.com","EY-Parthenon",
"60149","www.eliyan.com","Eliyan Corp.",
"108548","http://www.aclti.com","ACL","537"
"105609","http://www.skysolutions.com","Sky Solutions","188"
"130023","https://www.powerflex.com/","PowerFlex","269"
"100305","www.spok.com","Spok","418"
"112863","http://www.pickit.com.ar","pickit Argentina SA","230"
"109992","https://www.fly.io","Fly.io","74"
"110136","www.commuty.net","Commuty","16"
"107957","http://www.primevigilance.com/","PrimeVigilance","888"
"106592","www.thelasallenetwork.com","The LaSalle Network","634"
"132600","www.wearedevelopers.com","WeAreDevelopers","71"
"134971","http://www.howdy.com","Howdy","212"
"137821","http://www.igenesys.com/","Genesys International Corporation Ltd","1922"
"138119","https://www.finn.no","FINN.no","553"
"113078","http://www.visiontechnologies.com","Vision Technologies","630"
"109826","www.flashpoint.io","Flashpoint","381"
"103916","http://www.about.me/danielwhite21c","daniel  White",
"265949","4qlsolution.com","4th Quarter Logistics Solutions, LLC",
"110146","http://www.omni.no","OMNI","89"
"112449","http://www.karnovgroup.com","Karnov Group AB","841"
"139435","http://www.koneo.se","Koneo","149"
"135600","http://www.oodle.com","Oodle","20"
"114641","https://www.boost.technology","Boost Technology","21"
"113516","fapon.com","fapon.com","97"
"108697","www.multiverse.com","The Multiverse Network","36"
"142216","https://www.mypassglobal.com","MyPass Global","65"
"234720","https://www.abtasty.com/","AB Tasty",
"110709","http://www.testingit.com.mx","Testing IT","111"
"134292","http://www.about.me","about.me","276"
"137372","https://crunch.is/","Crunch","180"
"140626","http://www.certussolutions.com","Certus Solutions Limited","88"
"140964","http://www.integration.works","IntegrationWorks - the integration experts.","96"
"140303","http://www.saxo.com","Saxo","100"
"186300","lmis.de","LMIS AG","63"
"139883","http://www.24sevenoffice.com","24SevenOffice","137"
"126255","http://www.1kubator.com","1Kubator",
"110443","bluelayer.io","BlueLayer",
"8371","za.ey.com","Ernst & Young",
"208321","www.softswiss.com","SoftSwiss","1132"
"142854","https://www.sysintegra.com.au","Sysintegra","74"
"133117","https://www.infeedo.ai","inFeedo","184"
"146083","aakit.com","AAKIT Technologies PVT LTD",
"144318","www.accusoft.com","Accusoft","164"
"32029","www.vitalvisa.com","The Law Firm of Fatima Johnson, LLC",
"217920","https://www.3eco.com/","3E Company",
"181014","www.invoice.2go.com","Invoice2go",
"146242","www.2020spaces.com","20-20 Technologies","1314"
"237721","aceadvisory.biz","ACE Advisory",
"242475","www.abax.com","ABAX",
"5605565","http://www.manageyourtrip.com","Manage Your Trip Ltd.","12"
"22547","http://www.jysuis.nl","Sympac",
"109129","www.stafi.io","Stafi",
"5598927","http://www.alantechnology.com","ALAN Technology LLC","53"
"5598949","http://www.siiromania.ro","SII Romania","345"
"5599219","http://www.globaldev.tech","Globaldev Group","300"
"5601375","http://www.axence.net","Axence","31"
"5602834","http://www.socialdiscoverygroup.com","Social Discovery Group","689"
"5603148","http://www.redwerk.com","Redwerk","74"
"5603332","http://www.stellaruk.co.uk","Stellaruk","118"
"5605154","http://www.vsoft.pl","VSoft SA","240"
"5605449","http://www.shelly.com","Shelly Group","149"
"5605476","http://www.soflab.pl","Soflab Technology","168"
"5598278","http://www.itcenter.com","ITCenter","251"
"40777","www.nextbigthing.ag","Next Big Thing ()",
"5598582","http://www.unisystems.com","UniSystems","925"
"5599051","http://www.itss.pl","IT Systems & Solutions sp. z o.o. (ITSS)","55"
"5599516","http://www.mdsaptech.com","MDS ap","120"
"5599825","http://www.bitly.is","Typeform","371"
"5601724","http://www.lemongrasscloud.com","Lemongrass Consulting","596"
"5602986","http://www.chaos.com","Chaos","739"
"5603457","http://www.postdata.pl","POSTDATA S.A.","129"
"5605684","http://www.soft-gate.de","softgate","64"
"182206","jitjatjo.com","Jitjatjo","263"
"175471","gridium.com","Gridium","43"
"199808","procurepro.co","ProcurePro","39"
"223187","https://www.softgamings.com/","Softgamings","216"
"229427","abacus.com","abacus.com",
"249174","https://www.hallow.com","Hallow","140"
"166547","www.door3.com","DOOR3","67"
"248403","https://sumatosoft.com/","SumatoSoft","75"
"24741","www.trylove.co","Love Health, Inc",
"53271","https://www.3ds.com/products-services/netvibes/products/proxem/","Proxem",
"127973","www.orbitinteractive.com","Orbit Interactive",
"24878","www.yourconsulting.in","Your Consulting Limited",
"24233","www.crypthulhu.io","Crypthulhu Studios, Inc.",
"256245","abelfragrance.com","abelfragrance.com",
"227971","www.acquired.io","Acquired.IO",
"146502","4moms.com","4moms",
"248313","http://hr.163.com/","NetEase",
"39465","www.portalcorp.com","NFT Portal LLC",
"254997","accountingsuite.com","accountingsuite.com",
"103736","126.com","Pony Corp",
"100491","www.globalserviceoutsourcing.com","Global Trade Services Sarl",
"60952","www.maverickderivatives.com","Maverick Derivatives",
"48526","www.bosenet.com","Bosenet LTD",
"258112","https://acho.io/","Acho Software Inc.",
"1431","nl.ey.com","Ernst & Young",
"145069","www.megisto.com","Megisto Systems",
"276200","pl.abb.com","pl.abb.com",
"65372","za.ab-inbev.com","za.ab-inbev.com",
"258108","https://www.99minutos.com/","99 Minutos, Inc.",
"4690","de.ey.com","Ernst & Young Germany",
"56679","www.thesrlgroup.com","SRL Group",
"60377","leap.energy","Leap Energy",
"23941","mainmail.33mail.com","33Mail",
"118451","leica-microsystems.com","Leica","85"
"18379","7n.com","MicrosoftHomePrivacy",
"101680","http://www.accessthefuture.io","Access",
"255742","accountingsuite.com","accountingsuite.com",
"43741","www.mateus.pl","Mateus",
"142234","https://www.4mation.com.au/","4mation Technologies",
"146234","1worldsync.com","1WorldSync",
"120998","www.best-jp.com","Marketplace Blueprint",
"256108","5and5.co","5and5.co",
"45703","http://www.achilles.com","Achilles Information Ltd",
"27013","www.thegraduatesyndicate.com","The Graduate Syndicate",
"113022","www.ptalinternationalfze.com","PTAL",
"66510","vn.ab-inbev.com","vn.ab-inbev.com",
"103751","www.william-martinez.com","william  Martinez",
"18017","gwinc.com","Graphic World Inc","117"
"76739","3dmasti.com","3dmasti.com",
"144764","www.centrepath.com","CentrePath",
"222663","https://meritcircle.io/","Merit Circle","39"
"126247","https://orderly.network/","Orderly Network","33"
"36858","500.co","500 Global","2152"
"193144","https://www.newutherapy.com","New U Therapy Center & Family Services","31"
"117620","www.entrisphere.com","Entrisphere",
