id,domain,last_scraped_at,ats,job_metadata
"298425","atyeti.com","2024-03-08 16:44:46.043+00","linkedin","{""jobCount"": ""29"", ""officeLocationType"": {""hybrid"": ""8"", ""remote"": ""2"", ""on-site"": ""19""}}"
"334579","gaeaglobal.com","2024-03-06 10:11:42.178+00","linkedin","{""jobCount"": ""7"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""6""}}"
"110890","gaeaglobal.com","2024-02-25 22:56:08.001+00","linkedin","{""jobCount"": ""7"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""6""}}"
"168278","ibertech.org","2024-02-26 10:23:25.206+00","linkedin","{""jobCount"": ""59"", ""officeLocationType"": {""hybrid"": ""26"", ""remote"": ""29"", ""on-site"": ""4""}}"
"156040","scaleflex.com","2024-03-06 00:59:46.846+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"240847","marathonts.com","2024-03-05 00:32:05.33+00","linkedin","{""jobCount"": ""367"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""84"", ""remote"": ""75"", ""on-site"": ""208""}, ""remoteOfficeLocations"": [""united states"", ""annapolis junction, md"", ""lackland heights, tx"", ""washington, dc"", ""alexandria, va"", ""norman, ok"", ""fairfax county, va"", ""washington dc-baltimore area"", ""euclid, oh"", ""chantilly, va"", ""springfield, va"", ""arlington, va"", ""fort lewis, wa"", ""huntsville, al""]}"
"251458","rxlogix.com","2024-03-13 23:03:32.163+00","linkedin","{""jobCount"": 13, ""officeLocationType"": {""hybrid"": null, ""remote"": null, ""on-site"": 13}}"
"155303","deque.com","2024-03-08 16:34:57.224+00","linkedin","{""jobCount"": ""13"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""10"", ""on-site"": ""3""}, ""remoteOfficeLocations"": [""atlanta, ga"", ""hyderabad, telangana, india""]}"
"240791","wisestamp.com","2024-03-05 20:15:15.914+00","linkedin","{""jobCount"": ""4"", ""officeLocationType"": {""hybrid"": ""3"", ""remote"": ""1""}}"
"310355","zeincrew.com","2024-03-06 09:13:07.713+00","linkedin","{""jobCount"": ""1"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1""}, ""remoteOfficeLocations"": [""lebanon""]}"
"173211","itsquad.pl","2024-03-06 09:09:31.175+00","linkedin","{""jobCount"": ""11"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""3"", ""remote"": ""3"", ""on-site"": ""5""}, ""remoteOfficeLocations"": [""warsaw, mazowieckie, poland""]}"
"313379","icecodegames.com","2024-03-06 08:35:28.381+00","linkedin","{""jobCount"": ""1"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1""}, ""remoteOfficeLocations"": [""warsaw, mazowieckie, poland""]}"
"259919","ff.solutions","2024-03-05 21:43:36.508+00","linkedin","{""jobCount"": ""12"", ""officeLocationType"": {""hybrid"": ""9"", ""remote"": ""1"", ""on-site"": ""2""}}"
